shift_hour,Amplitude_Column1,Amplitude_Column2,Amplitude_Column3,StdDev_Column1,StdDev_Column2,StdDev_Column3
-12,5.224372516225376,5.10914077337311,0.19999989967562182,1.3921804948526648,1.3889294677932387,0.07073599303565654
-11,5.14253501394256,5.0771880388841755,0.1999999928779491,1.3571776537198,1.3521850220358447,0.07076757957111181
-10,5.2504315762466565,5.161615602146191,0.1999999959317968,1.3371986992618672,1.3291950200832394,0.07069928125310065
-9,5.2815427602414236,5.210747652872551,0.1999999953531293,1.315305854325996,1.3029584544673714,0.07070632468486553
-8,5.145005677527321,5.01877338426136,0.19999999226323723,1.1943512385207071,1.175911745449843,0.07070689828927247
-7,3.750393637583492,3.621102768150588,0.1999999626951417,1.158926578576355,1.1285548471125406,0.07066152417912105
-6,5.817192823063318,5.690711353373192,0.1999999883245716,1.9461040462453594,1.9143222682337009,0.07072514092989866
-5,7.477896586147731,7.450731928728961,0.1999999942901041,2.5997548904574415,2.587893080066208,0.0707632381351415
-4,7.401619726933694,7.452293739879574,0.1999999854889505,2.590910950111398,2.6045338266930615,0.07069968356573436
-3,5.654881510315242,5.7517847721139415,0.1999998159787369,1.9562343221859066,1.9890701876601993,0.07070618696895366
-2,3.6347222560972856,3.7312127648002384,0.19999999914520888,1.235694734017353,1.2702972152158771,0.07070689429189886
-1,4.549033245592009,4.648413538182506,0.19999999505955918,1.1147272273133138,1.1418478164291515,0.07066588193135387
0,4.921548563657357,5.019405054159386,0.19999998759205528,1.2536484387206313,1.2733975913561066,0.07073599306758045
1,5.006366094448303,5.112940136454906,0.19999995952898308,1.307110497449266,1.3223154168523907,0.07076756640964865
2,5.0023206545043575,5.0898824160993685,0.19999999581367728,1.3591600894656786,1.3727011547958883,0.07069925739185849
3,4.945212200064919,5.012531479614491,0.19999999966088108,1.3766192682730198,1.388128971706015,0.070706340396088
4,5.134781492694268,5.197733424503076,0.1999999941822986,1.3882144311450066,1.397528979211435,0.07070689829307905
5,5.021301822640487,5.077163182529473,0.1999999755749881,1.3770107357331944,1.3844974330326791,0.07066154893820085
6,5.099872753461881,5.06807106696804,0.1999999883245716,1.405742126676344,1.4118911728733816,0.07072512002355556
7,5.066346781410347,5.019256278708584,0.1999999950595593,1.4063186412316364,1.411893252193574,0.07076312013841603
8,5.005363614435453,4.960092803317165,0.1999999854889505,1.4056153104233442,1.4094692707126297,0.07069968356297046
9,5.096977170226939,5.0198906676981085,0.19999999835967958,1.4119013215957616,1.4148047043630656,0.07070610299689482
10,5.122582730063348,5.038803070803297,0.19999999914520888,1.4118064153097951,1.4132274056933898,0.07070689814628192
11,5.1212118118159236,5.013368417445778,0.1999999866623503,1.396328355719577,1.396641912482073,0.07066585789083828
12,5.224372516217105,5.109140773380955,0.19999989967562187,1.3921804948495322,1.3889294677903026,0.07073599303565659
